date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:24	24/24	---M--	200	added ('OK')	text/plain	etag:%225f1c6558-18%22	https://mcaccounts.co/robots.txt		(from )
11:26:25	106072/106072	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Oct%202020%2010:26:23%20GMT	https://mcaccounts.co/	C:/Users/marcu/Desktop/e7f/mcaccounts.co/index.html	(from )
11:26:25	56807/56807	---M--	200	added ('OK')	image/png	etag:%22b866f1ffb38fefddd4c9467a8f7ff4d8%22	https://i.imgur.com/E0pxmyh.png	C:/Users/marcu/Desktop/e7f/i.imgur.com/E0pxmyh.png	(from https://mcaccounts.co/)
11:26:25	1234/1234	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Oct%202020%2010:26:24%20GMT	https://use.typekit.net/qxb8htk.css	C:/Users/marcu/Desktop/e7f/use.typekit.net/qxb8htk.css	(from https://mcaccounts.co/)
11:26:25	66663/66663	---MCZ	200	added ('OK')	text/css	etag:W/%225f1c6558-10467%22	https://mcaccounts.co/assets/vendors/liquid-icon/liquid-icon.min.css	C:/Users/marcu/Desktop/e7f/mcaccounts.co/assets/vendors/liquid-icon/liquid-icon.min.css	(from https://mcaccounts.co/)
11:26:26	5782/5782	---M-Z	200	added ('OK')	text/javascript	etag:%22a8e6a3dde655976cfaa1ae45d67d78de%22	https://kit.fontawesome.com/e6ccc71d84.js	C:/Users/marcu/Desktop/e7f/kit.fontawesome.com/e6ccc71d84.js	(from https://mcaccounts.co/)
11:26:26	119076/119076	---MCZ	200	added ('OK')	text/css	etag:W/%225f1c6558-1d124%22	https://mcaccounts.co/assets/css/theme-vendors.min.css	C:/Users/marcu/Desktop/e7f/mcaccounts.co/assets/css/theme-vendors.min.css	(from https://mcaccounts.co/)
11:26:26	583112/583112	---MCZ	200	added ('OK')	text/css	etag:W/%225f1c6558-8e5c8%22	https://mcaccounts.co/assets/css/theme.min.css	C:/Users/marcu/Desktop/e7f/mcaccounts.co/assets/css/theme.min.css	(from https://mcaccounts.co/)
11:26:26	2941/2941	---MCZ	200	added ('OK')	text/css	etag:W/%225f1c6558-b7d%22	https://mcaccounts.co/assets/css/themes/original.css	C:/Users/marcu/Desktop/e7f/mcaccounts.co/assets/css/themes/original.css	(from https://mcaccounts.co/)
11:26:27	11816/11816	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f75893e-2e28%22	https://client.crisp.chat/l.js	C:/Users/marcu/Desktop/e7f/client.crisp.chat/l.js	(from https://mcaccounts.co/)
11:26:27	5974/5974	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f1c6558-1756%22	https://mcaccounts.co/assets/vendors/modernizr.min.js	C:/Users/marcu/Desktop/e7f/mcaccounts.co/assets/vendors/modernizr.min.js	(from https://mcaccounts.co/)
11:26:27	68113/68113	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jun%202020%2005:22:38%20GMT	https://lexholdingsgroup.com/pay/checkout/assets/imgs/coinbase.png	C:/Users/marcu/Desktop/e7f/lexholdingsgroup.com/pay/checkout/assets/imgs/coinbase.png	(from https://mcaccounts.co/)
11:26:27	189068/189068	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Jun%202020%2021:06:05%20GMT	https://lexholdingsgroup.com/pay/checkout/assets/imgs/visamastercard.png	C:/Users/marcu/Desktop/e7f/lexholdingsgroup.com/pay/checkout/assets/imgs/visamastercard.png	(from https://mcaccounts.co/)
